REGION,STATE_GROUP,PROGRAM_STATUS,ANCHOR_INDUSTRY,TREATED,YEAR,EMPLOYMENT_RAW,EMPLOYMENT,POST_POLICY,DID
"Lucas Cnty, Ohio",Ohio funded corridor,AI Grant County,Auto parts and machining,1,2022,33.4k,33400,1,1
Stark County / OH,Ohio funded corridor,Grant Zone,Fabricated metals,1,2022,"36,640 jobs",36640,1,1
Mahoning County - Ohio,Ohio funded corridor,Upskilling Cohort,Steel components,1,2022,30.0k,30000,1,1
"Trumbull Cnty., OH",Ohio funded corridor,Treated,Industrial tooling,1,2022,"25,688 jobs",25688,1,1
Erie County (PA),Pennsylvania benchmark district,Comparison Area,Machine shops,0,2022,29.9k,29900,1,0
"Mercer Cnty, Pennsylvania",Pennsylvania benchmark district,No Grant,Plastics and molds,0,2022,"17,637 jobs",17637,1,0
Lawrence County - PA,Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,0,2022,16.4k,16400,1,0
"Beaver Cnty., PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,0,2022,"26,053 jobs",26053,1,0
"Lucas Cnty, Ohio",Ohio funded corridor,AI Grant County,Auto parts and machining,1,2023,34.6 K,34600,1,1
Stark County / OH,Ohio funded corridor,Grant Zone,Fabricated metals,1,2023,~38.0k,38000,1,1
Mahoning County - Ohio,Ohio funded corridor,Upskilling Cohort,Steel components,1,2023,31.2 K,31200,1,1
"Trumbull Cnty., OH",Ohio funded corridor,Treated,Industrial tooling,1,2023,~26.9k,26900,1,1
Erie County (PA),Pennsylvania benchmark district,Comparison Area,Machine shops,0,2023,30.2 K,30200,1,0
"Mercer Cnty, Pennsylvania",Pennsylvania benchmark district,No Grant,Plastics and molds,0,2023,~17.9k,17900,1,0
Lawrence County - PA,Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,0,2023,16.7 K,16700,1,0
"Beaver Cnty., PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,0,2023,~26.4k,26400,1,0
"Lucas Cnty, Ohio",Ohio funded corridor,AI Grant County,Auto parts and machining,1,2024,"36,645",36645,1,1
Stark County / OH,Ohio funded corridor,Grant Zone,Fabricated metals,1,2024,40.1 thousand,40100,1,1
Mahoning County - Ohio,Ohio funded corridor,Upskilling Cohort,Steel components,1,2024,"33,215",33215,1,1
"Trumbull Cnty., OH",Ohio funded corridor,Treated,Industrial tooling,1,2024,28.9 thousand,28900,1,1
Erie County (PA),Pennsylvania benchmark district,Comparison Area,Machine shops,0,2024,"30,402",30402,1,0
"Mercer Cnty, Pennsylvania",Pennsylvania benchmark district,No Grant,Plastics and molds,0,2024,18.2 thousand,18200,1,0
Lawrence County - PA,Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,0,2024,"16,926",16926,1,0
"Beaver Cnty., PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,0,2024,26.6 thousand,26600,1,0
"Lucas Cnty, Ohio",Ohio funded corridor,AI Grant County,Auto parts and machining,1,2025,"39,500 jobs",39500,1,1
Stark County / OH,Ohio funded corridor,Grant Zone,Fabricated metals,1,2025,43.0k,43000,1,1
Mahoning County - Ohio,Ohio funded corridor,Upskilling Cohort,Steel components,1,2025,"36,035 jobs",36035,1,1
"Trumbull Cnty., OH",Ohio funded corridor,Treated,Industrial tooling,1,2025,31.6k,31600,1,1
Erie County (PA),Pennsylvania benchmark district,Comparison Area,Machine shops,0,2025,"30,634 jobs",30634,1,0
"Mercer Cnty, Pennsylvania",Pennsylvania benchmark district,No Grant,Plastics and molds,0,2025,18.4k,18400,1,0
Lawrence County - PA,Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,0,2025,"17,167 jobs",17167,1,0
"Beaver Cnty., PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,0,2025,26.9k,26900,1,0
